source,target
"And they took Asahel's body and put it in the last resting-place of his father in Beth-lehem. And Joab and his men, travelling all night, came to Hebron at dawn.","Chutichuan Asahela ruang chu an la a, Bethlehem-a a pa thlanah an phûm a. Tin, Joaba leh a mite chu zankhuain an kal a, Hebron an thlenin khua a vâr a."
"So when the people saw that Jesus was not there, or his disciples, they got into those boats and went over to Capernaum looking for Jesus.","Chutichuan,mipui chuan Isua leh a zirtirte chu an awm ta lo tih an hriatin, anni pawh lawng teahte chuan an chuang a, Isua zawngin Kapernaum khua an lo thleng a."
This is food,Hei hi chaw a ni
"But if in those lands you are turned again to the Lord your God, searching for him with all your heart and soul, he will not keep himself from you.","Nimahsela chutah pawh chuan LALPA in Pathian chu in zawn a, in thinlung zawng zawng leh in rilru zawng zawnga in zawn chuan in hmu leh ang."
"It is an old disease in the skin of his flesh, and the priest will say that he is unclean; he will not have to be shut up, for he is clearly unclean.","phâr benvawn a tisaah a awm a ni a, puithiamin a bawlhhlawh tih a puang ang a, khung hran tur a ni lo va, bawlhhlawh a ni si a."
"Others said, These are not the words of one who has an evil spirit. Is it possible for an evil spirit to make blind people see?","A thenin, Heng thu hi ramhuai zawl thusawi a ni lo ve. Ramhuaiin mitdel mit a tivar thei em ni? an ti a."
Do you have money,Sum i nei em
I didn't cry,Ka ṭap miah lo
Can you pick it up?,I la thei ang em?
"And Gilead, and the land of the Geshurites and the Maacathites, and all Mount Hermon, and all Bashan to Salecah;","tin, Gilead ram leh Gesur-ho leh Maakat-ho ramri chin leh Hermon tlang zawng zawng leh Basan ram zawng zawng, Salka khaw thlengin;"
I have put off my coat; how may I put it on? My feet are washed; how may I make them unclean?,"Ka kawr ka hlip ta, engah nge ka hak ang? Ka ke ka sil ta, engah nge ka tihbawlhhlawh ang?"
You are something,Thil pakhat i ni
I am who I am.,Ka nih ang ang ka ni mai.
Let's get a drink,In tur i la ang u
"Then the king's servants who were in the king's house said to Mordecai, Why do you go against the king's order?","Tin, lal mite, lal kawt hnung kawngkaa awm zawng zawngte chuan Moedekaia hnênah,Engati nge lal thupêk i bawhchhiat? an ti a."
I ain't got nobody,Tumah ka nei lo
For the arms of the evil-doers will be broken: but the Lord is the support of the good.,Mi suaksual bante chu tihtliahin a awm dawn si a: Mi fel erawh chu LALPAN a chelh reng thin.
They cheered,An lâwm hle
"And at dawn the men, with their asses, were sent away.","Tin, khua a vâr veleh anni chu an sabengtungte nên chuan an kaltîr ta a."
"Whom then is God like, in your opinion? or what will you put forward as a comparison with him?","Pathian chu tu nên nge in tehkhin dawn le? A nih loh leh, eng lem nge amah nên in tehkhin dawn le?"
"But he who is unclean when he takes as food the flesh of the peace-offerings, which are the Lord's, will be cut off from his people.","remna thilhlan inthawina sa, LALPA chanpual, thianghlim lo chunga eitu erawh chu, chu mi chu a chipuite zing ata tuithlarin a awm tur a ni."
"Pharaoh, king of Egypt, and his servants and his princes and all his people;","Aigupta lal Pharaoa leh a chhiahhlawh te, a hotute leh ami zawng zawng te;"
"Give ear, you whose ears are shut; and let your eyes be open, you blind, so that you may see.","Bengngawngte u, bengin hre rawh u; mitdelte u, in hmuh theih nân en rawh u."
"May my arm be pulled from my body, and be broken from its base.","Ka kovi hi ka dar saipheng nên phawk hlawk sela, Ka ban hi khingkhangruh atangin thlawn hlauh rawh se"
"But still some of you have no faith. For it was clear to Jesus from the first who they were who had no faith, and who it was who would be false to him.","Nimahsela in zingah a then ring lo in awm e, a ti a. Isuan a ring lotute leh a mantirtu tur chu a tir ata a hre reng si."
"He did not say this of himself, but being the high priest that year he said, as a prophet, that Jesus would be put to death for the nation;","Chu thu chu ama phuahchawpin a sawi lo, chu mi kum chuan Puithiam Lalber a ni a, an chite aia Isua a thih tur thu a sawi lawk a ni zawk e."
Give thought to my grief and my pain; and take away all my sins.,"Ka hreawmzia leh ka manganzia hi ngaihtuah la, Ka sual zawng zawng ngaidam ang che."
You idiot!,Nang mimawl.
I felt awful,Rapthlak ka inti
A true witness is the saviour of lives; but he who says false things is a cause of deceit.,"Hretu dik chuan mite a chhanchhuak a, Dâwt chhak chhuak mi chuan bumna a tichhuak thin."
They resumed walking,An kal leh ta a
"And the servant-wife he had in Shechem had a son by him, to whom he gave the name Abimelech.","Tin, Sekem khuaa a hmeiin fapa a hrinsak bawk a, a hmingah Abimeleka a sa a."
And they all had baptism from Moses in the cloud and in the sea;,"an zaa chhumah leh tuifinriatah pawh Mosia bel tura baptisa an awm vek a,"
"Against whom the chief priests and the rulers of the Jews made a statement when I was at Jerusalem, requesting me to give a decision against him.","Jerusalem khuaa ka awm lai khan puithiam lalte leh Juda upaten a chungchang thu mi hrilh a, thiam loh chantir an ngen a."
You are my secret place and my breastplate against danger; my hope is in your word.,Nang chu ka bihrûkna hmun leh ka phaw i ni a: I thu ka beisei a ni.
"And in Gibeon was living the father of Gibeon, Jeiel, whose wife's name was Maacah;","Tin, Gibeon-ah chuan Gibeon-ho thlahtu Jeiela a awm a, A nupuia hming chu Maaki a ni"
"And Mary Magdalene was there, and the other Mary, seated by the place of the dead.","Tin, chutah chuan Mari Magdalini leh Mari dang chu an awm a, thlan hma zawnah chuan an thu a."
"O God, let their teeth be broken in their mouths; let the great teeth of the young lions be pulled out, O Lord.","Aw Pathian, an kaah chuan an hate chu tibal la: Aw LALPA, Sakeibaknei vanglaite ha lian pui puite chu kher chhuak chhuak ang che."
And he took him up and let him see all the kingdoms of the earth in a minute of time.,"Tin, a hruai chho va, mit khap kar lovah khawvel ram zawng zawng a entir a."
"Your way, O God, is holy: what god is so great as our God?","Aw Pathian, i kawng chu hmun thianghlimah a awm a: Kan Pathian ang hi pathian ropui tunge awm?"
"Dial leh rawh, Tom.","Dial it back, Tom."
Yes i am fine,Aw ka dam ṭha e
"But come back, now, all of you, come; and I will not see a wise man among you.","In zain lo kir ula, lo kal teh u, In zingah mi fing ka hmu chuang lo vang."
And let every wise-hearted man among you come and make whatever has been ordered by the Lord;,"Tin, in zinga mi themthiam apiang chu lo kal sela, LALPAN siam tura thu a pêk apiang chu siam rawh se;"
"He who is kind will have a blessing, for he gives of his bread to the poor.","Mi thilphal chu malsawmin a awm ang, A chhâng mi rethei a pêk thin avângin."
Don't cancel anything yet.,Engmah cancel suh.
So let me see.,Chuvangin ka en ang.
Eye disease,Mit natna
Has any one of the gods of the nations kept his land from falling into the hands of the king of Assyria?,Hnam tinte pathian zawng zawng zinga mi rêng rêngin an ram chu Assuria lal lakah an chhanhim tawh ngai êm ni?
And the sons of Onam were Shammai and Jada; and the sons of Shammai: Nadab and Abishur.,"Tin, Onama fapate chu Samaia leh Jada an ni a; tin, Samaia fapater chu nadaba leh Abisura an ni."
Let's get things started.,Thil i tan ang u.
I can sing.,Hla ka sa thei.
I don't find a formula.,Formula ka hmu lo.
"And if your offering is of meal cooked in fat over the fire, let it be made of the best meal mixed with oil.","Tin, i thillan chu kanbela kan, chhangphut thilhlan a nih chuan changphut dip tak leh hriaka siam a ni tur a ni."
"And not one of these got the good things of the agreement, though they all had a good record through faith,","Tin, chung zawng zawngte chuan rinna avnga fak lo hlawh tawhin, thiltiam chu an chang lo va,"
Who fell?,Tunge tlu?
I normal lo a ni,You're not normal
I'm brave.,Ka huaisen.
"And if a man's seed goes out from him, then all his body will have to be bathed in water and he will be unclean till evening.","Tupawh inpâwlna chi amah atanga a chhuah chuan a pumin a inbual vek tur a ni a, tlai lam thlengin a bawlhhlawh ang,"
I admire them both,An pahnih hian ka ngaisang hle
"For the people of Israel and the people of Judah have been very false to me, says the Lord.","Israel chhûngte leh Juda chhûngte chuan, Ka chungah vervek takin an ti si a, Tih hi LALPA thu chhuak a ni."
"And he is not dependent on the work of men's hands, as if he had need of anything, for he himself gives to all life and breath and all things;","thil tlachham angin mihring kuta rawngbawlsakin a awm hek lo, amah ngei chu engkim hnena nunnate, thawknate leh thil zawng zawngte petu a ni zawk e."
"The second Trouble is past: see, the third Trouble comes quickly.","Chungpikna pahnihna chu a reh tawh a, ngai teh, Chungpikna pathumna chu a lo awm lawk dawn e."
With what care are your ways ordered when you are looking for love! so ... your ways.,Ngaizâwngtu hmuh theihna tûrin i awm dân i va uluk ve! Hmeichhe sual hnênahte pawh i awm dân i zirtir tâk hi.
I cry a lot,Ka tap nasa
I don't eat dark meat.,Sa dum ka ei lo.
He went home on foot.,Kein a haw ta a.
We're calm,Kan inbengdai tawh
Sami is waking up,Sami chu a harh a
Do you drink,Zu i in em
I goofed,Ka tisual e
"And they were all surprised and in doubt saying to one another, What is the reason of this?","Tin, an za chuan mak an ti hle mai a, a ngaihna an hre lo va, Heng hi engtizia nge ni? an inti a."
You let them down,Anmahni chu i ti beidawng a ni
"And a certain ruler put a question to him, saying, Good Master, what have I to do so that I may have eternal life?","Tin, hotu tuin emaw a hnenah, Zirtirtu tha, chatuana nunna channa turin engtin nge ka tih ang? tiin a zawt a."
"He is greatly in fear of the dark day, trouble and pain overcome him:",Hreawmna leh thawpikna chuan a tihlau va; Lal inpeihsain indona a hneh angin amah an hneh a;
Are you afraid of blood,Thisen i hlau em
You're unambitious,I tumruh lo
Put your life in the hands of the Lord; have faith in him and he will do it.,"I awm dan tûr chu LALPA chungah nghat la; Amah chu ring la, aman a ti vek ang."
I drop mai ang u.,Let's just drop it.
I was watching TV at night.,Zanah TV ka en a.
Now get in,Tunah lût rawh
We found one,Pakhat kan hmu
And the Lord came down to see the town and the tower which the children of men were building.,"Tin, LALPA chu mihring faten khawpui leh in sâng an siam vêl chu en tûrin a zuk chhuk a."
"And the child at the breast will be playing by the hole of the snake, and the older child will put his hand on the bright eye of the poison-snake.","Tin, nau hnute hne lai chu rulrial kaw kotlângah a tualchai ang a, nau hnute hnêk bâng tawh chuan rûlmuk tawmkûk kotlângah a kut a nghat ang."
You're very sweet,I thlum hle mai
"And they took their cattle and all the goods which they had got in the land of Canaan, and came to Egypt, even Jacob and all his seed:","Tichuan Jakoba leh a thlahte zawng zawng chuan Kanaan rama an dehchhuah an rante leh an bungruate chu an chhawm a, Aigupta ram chu an thleng ta a:"
"And he gave him no answer, not even a word: so that the ruler was greatly surprised.","Tin, kam khat mahin a chhang lo va; chutichuan Ram Awptu chuan mak a ti hle a."
"And put an end to all the plants of their land, taking all the fruit of the earth for food.","Chunge chuan an rama thlai tinrenget chu an ei zova, An lei rahte pawh an ei zo ta bawk a."
"You have rule over the sea in storm; when its waves are troubled, you make them calm.",Nang chuan tuifinriat chapona chungah ro i rel thin a: A tuifawn invawrh laite chu i tireh thin.
"In the past you put the earth on its base, and the heavens are the work of your hands.",Leilung nghahchhan chu hmasânga i phûm tawh ani a; Vante pawh i kut chhuak a ni.
They are bent down and made low; but we have been lifted up.,"Anni zawng an kun a, an tlu ta a: Keini erawh chu kan tho va, kan ding mar ta zawk a."
"And it will be unbroken day, such as the Lord has knowledge of, without change of day and night, and even at nightfall it will be light.",Mahse chumi nî chu LALPA chauhvin a hria. Chhûn ni lo zân ni lo; tlai lamah erawh chuan êng a lo awm ang.
I don't cause trouble.,Buaina ka siam lo.
They are commissioned.,Commission an ni.
"Be pointed to the right, to the left, wherever your edge is ordered.","Invilikin che vâk ang che, ding lamah, Invilikin vei lamah pawh vai zel la, I hma zawn apiangah pawh."
"So they came together at Jerusalem in the third month, in the fifteenth year of the rule of Asa.","Chutichuan Asa kum sâwm leh kum nga a lal ku, a thla thumnaah Jerusalem-ah an pung khâwm chiam a."
This is insufficient,Hei hi a tawk lo
"Now when Rehoboam's position as king had been made certain, and he was strong, he gave up the law of the Lord, and all Israel with him.","Tin, Rehohoma chu a lo lal ngheh tak chinah chuan a lama tang Israel-ho zawng zawng nen, LALPA dan chu an hawisan ta a."
"Then the tribe of Gad, with Eliasaph, son of Reuel, as their chief.","Tin, Gad chite: ngada thlate puipa tur chu Reuela fapa Eliasapha a ni ang:"
"And Pilate put on the cross a statement in writing. The writing was: JESUS THE NAZARENE, THE KING OF THE JEWS.","Tin, Pilatan lehkha a ziak a, kraws ler lamah a bel a. ‘Nazareth Isua Judate Lal,’ tiin a ziak a ni."
I have never gone against the orders of his lips; the words of his mouth have been stored up in my heart.,"A kamchhuak thupêk chu ka pensan lo va, A kaa thute chu ka dan aiin ka roh zawk a."
He got up in the morning.,Zingah a tho va.
Then he took the responsible men of the town and had them crushed on a bed of thorns and sharp stems.,"Tichuan chu mi khaw upate chu a man a, thlaler hling leh hnimhlingneite chuan Sukoth mite chu a zirtir a."
I'm in India,India ah ka awm
I will not allow myself to be fooled,Bum ka phal lovang
How many people died,Mi engzat nge thi
"As for man, the son of woman, his days are short and full of trouble.","Hmeichhe hrin tawh mihring phwt chu Rei lo te dam, buainaa khat a ni."
You are right,I dik dik e
"With his peace-offering let him give cakes of leavened bread, as a praise-offering.",Lawmthu sawi nana a remna thilhlan inthawinaah chuan chhang dawidim telh a hlan tel tur a ni.
We're dating,Kan inrim mek
It will burn,A kâng dawn
"And Judah said to him, The man said to us with an oath, You are not to come before me again without your brother.","Tichuan Juda chuan a hnênah, Chu mi chuan, 'In nau in hnêna a tel loh chuan ka hmêl in hmu lo vang,' tiin min tiam tlat a ni."
But your hearts are full of sorrow because I have said these things.,Heng thu in hnena ka sawi avangin in thinlung chu lungngaiin a khat thlu hial ta zawk a.
"And they went on from Zalmonah, and put up their tents in Punon.","Tin, Zalmon ațang chuan an chhuak a, Punon-ah awmhmun an khuar a."
"Of the sons of Kohath: Uriel the chief, and his brothers, a hundred and twenty;","Kohatha thlahte zinga mi, puipa ber Uriela, a unaute nen za leh sawm hnih;"
And here he has authority from the chief priests to make prisoners all who give worship to your name.,"tin, hetah pawh i hming lam apiang phuarna turin puithiam lalte hnen ata thu a hmu reng asin, a ti a, a chhang a."
Don't worry,Lungngai suh
They are not transgressive,Bawhchhia an ni lo
Be confident,Inringtâwk rawh
"And Jesse made his seven sons come before Samuel. And Samuel said to Jesse, The Lord has not taken any of these.","Tichuan Jesaia chuan a fapate pasarih Samuela hmaah chuan a kaltir a. Tin, Samuela chuan Jesaia hnênah, LALPAN hengho hi a thlang lo a ni, a ti a."
There are people out there.,Mi an awm pawn.
I don't give a shit.,Shit ka pe lo.
Pain and trouble have overcome me: but your teachings are my delight.,Manganna leh thlaphanna chuan mi tlakbuak ta a: Nimahsela i thupêkte hi ka lawmna a ni.
"One day the trees went out to make a king for themselves; and they said to the olive-tree, Be king over us.","Vawikhat chu thing hi an lal atâna hriak thih tûrin an va chhuak a; olive thing hnênah hian, 'Nang kan lalah awm ta che,' an ti a."
"The memory of the upright is a blessing, but the name of the evil-doer will be turned to dust.","Mi fel hriat rengna chu malsawmna ani a, Mi suaksual hming erawh chu a tawih ral ang."
"So that they might put their hope in God, and not let God's works go out of their minds, but keep his laws;","An beiseina chu Pathianah an nghah theih a, Pathian thiltihte chu an theihnghilh loh va, A thupêkte chu an zawm zawk nân:"
They were burned at the stake.,Tiangah an hal a.
She was not invited.,Sawm a ni lo.
Do not keep back your offerings from the wealth of your grain and your vines. The first of your sons you are to give to me.,I thlai thar hmasa ber leh i uain tui tla hmasa ber chu i hlân var tûr a ni. I fapa upa ber chu mi pe tûr a ni.
I wasn't impressed,Ka ngaihsan lo
What are you going to buy,Eng nge i lei dawn
I made it,Ka tithei e
"Your very life will be hanging in doubt before you, and day and night will be dark with fears, and nothing in life will be certain:","in nunna chu hlauthawng reng rengin a awm ang a, chhun leh zan hlau reng rengin in awm ang a, in nunnain ngaihngam taka awm a nei lo vang,"
"Because of this my heart is glad, and my glory is full of joy: while my flesh takes its rest in hope.","Chu vangin ka thinlung hi a lawm a, ka ropuina hi a hlim a: Ka tisa pawh him takin a awm ang."
But you may get servants as property from among the nations round about; from them you may take men-servants and women-servants.,"Bawihnu leh bawihpaa I neih turte hu in vel hnam zinga mi, bawih nu leh bawihpa atan chuan in lei tur a ni."
But she was not scared.,"Mahse, a hlau lo."
"And the disciples came and said to him, Why do you say things to them in the form of stories?","Tin, zirtirte chu an lo kal a, a hnenah, Engatinge an hnenah tehkhin thuin i sawi? an ti a."
"But Philip came to Azotus, and went through all the towns, preaching the good news, till he came to Caesarea.","Nimahsela Philipa chu miin Azota khuaah an hmu leh ta a; tin, a kal tlang a, Kaisari khaw thlengin khaw tinah Chanchin Tha chu a hril zel a."
It's strange,A mak lutuk
The TV doesn't work.,TV a thawk lo.
I could help,Ka pui thei
It's very strange,A mak hle mai
The upright man is a hater of false words: the evil-doer gets a bad name and is put to shame.,"Mi fel chuan dawt a hua a, Mi suaksual erawh chu a renawm a, mualphona a thlen thin."
"And Azariah was the father of Seraiah, and Seraiah was the father of Jehozadak;","tin, Azarian Seraia a hring a, tin, Seraian Jehozadaka a hring a;"
"Give me my wives and my children, for whom I have been your servant, and let me go: for you have knowledge of all the work I have done for you.","I rawng ka bâwl chhan ka nupuite leh ka fate hi mi pe la, mi kaltîr rawh; i rawng ka bâwlsakzia che chu i hre si a, a ti a."
You aren't smiling,I nui lo a ni
How many people were in attendance,Mi engzat nge kal
All the people who came out had undergone circumcision; but all the people whose birth had taken place in the waste land on their journey from Egypt had not.,Aigupta ram ata chhuakho zawng zawngte kha chu serhtan sa vek an ni a: amaherawhchu Aigupta ram ata an chhuaha thlalera kawng laa piang zawng zawngte kha chu serhtan an ni ve lo.
I'm very shy,Ka zak lutuk
I can feel it.,Hriatna ka nei.
"But you would have nothing to do with the Holy and Upright One, and made request for a man of blood to be given to you,","Mi Thianghlim leh Fel tak kha in duh lo va, tualthattu kha in hnena pek in ngen ta zawk a."
I can now do that.,Tunah chuan chu chu ka ti thei tawh ang.
"Then the armed men were for putting the prisoners to death, so that no one would get away by swimming.","Tin, sipaiten mi tangte chu tihhlum an rawt a, chutilochuan tui hleuh kaite an awm ang a, an tlanbo vang tih an hlau va."
They don't want the truth.,Thudik an duh lo.
"But about the things of the spirit, my brothers, it is not right for you to be without teaching.","Tin, unaute u, thlarau lam thilpek thute chu in hriat loh ka duh lo ve."
So the Lord God sent them away into every part of the earth: and they gave up building their town.,Chutichuan LALPAN anniho chu chuta tang chuan lei zawng zawngah chuan a tidarh a: tichuan an khawsiam chu an bânsan ta a.
I forgot it,Ka theihnghilh tawh
What were you there for,Eng atan nge i awm
"Then Gideon came to Jordan and went over it with his three hundred, overcome with weariness and in need of food.","Tin, Gideona leh a hnêna mi zathum awmte chuan Jorda lui chu an zuk thleng a, an kan a, chu chung chungin an um zel a."
"So we said, Let us now make an altar for ourselves, not for burned offerings or for the offerings of beasts:","Chuvangin, 'hawh u, maichâm i siam teh ang u, halral thilhlan nan leh inthawi nan erawh chu ni lovin:"
"And if it is not so, now, who will make it clear that my words are false, and that what I say is of no value?","Tunah chuti ni suh sela, tunge daw mi ti thei ang a, Ka tawng kha engmah lovah sawi thei ang."
"And after three days and a half the breath of life from God went into them, and they got up on their feet; and great fear came on those who saw them.","Tin, ni thum leh a chanve hnuah chuan Pathian hnen ata nunna thaw chu an chhungah a lo lut a, an kein an ding ta a; tichuan a hmutute chuan an hlau ta em em a."
"And not be like their fathers, a stiff-necked and uncontrolled generation; a generation whose heart was hard, whose spirit was not true to God.","Leh, an thlahtute anga, Chhuan luhlul leh helhmang; Chhuan thinlung siam dik lo, Pathian laka rilru rinawm lo pua an awm loh nân."
The property of the man of wealth is his strong town: the poor man's need is his destruction.,Mi hausa sum chu a khawpui nghet a ni a; Mi rethei boralna chu an pachhiatna a ni.
"And Salmon became the father of Boaz, and Boaz became the father of Obed;","tin, Salmona chuan Boaza a ring a, tin, Boaza chua Obeda a hring a;"
It is in my bag.,Ka bag-ah a awm.
"These are the waters of Meribah; because the children of Israel went against the Lord, and they saw that he was holy among them.","Hei hi Meriba tuite chu a ni; Israela thlahte chuan LALPA chu an bei vak a, chutah chuan chawimawiin a awm tak avangin."
"Keep all the laws of men because of the Lord; those of the king, who is over all,","Lalpa avang chuan mihring ruat apiangte hnenah intulut rawh u, chungnunga awm lalber hnenah emaw,"
It's a German name,German hming a ni
He's not feeling well,A dam ṭha vak lova
"Oh, be quiet","Oh, ngawi teh"
And every open vessel without a cover fixed on it will be unclean.,"Tin, bungbel inhawng, a chhinaa chhin loh apiang chu a bawlhhlawh a ni."
What shirt is pink?,Eng kawr nge pink?
Is this appropriate,Hei hi a inhmeh em
"Make sounds of grief, son of man; with body bent and a bitter heart make sounds of grief before their eyes.","Chuvangin nang mihring fapa, rûm vawng vawng la, lungchhe takin an mithmuhahrûm rawh."
"For you are great, and do great works of wonder; you only are God.","Nang chu i ropui si a, thilmakte i ti bawk thin a: Nangmah chauh hi Pathian i ni."
Ten times now you have made sport of me; it gives you no sense of shame to do me wrong.,Vawi samw lai mi dem chhe ta a. Tha lo taka ka chunga tih hi in zak hek lo.
"But they had no fear and gave no signs of grief, not the king or any of his servants, after hearing all these words.","Tin, lal leh a rawngbawltu, heng thu zawng zawng ngaithlatu tumahin an hlau lo va, an silhfên an thlêr hek lo."
I'm paying,Ka infiam mek
Don't smile,Nui suh
"Plating it inside and out with the best gold, and putting an edge of gold all round it.","tin, a chu leh a pawn chu rangkachak hlir hlak tiin a luan a, tin, rangkachakin a tlâng a kawm a."
It is already nine o'clock.,Dar kua a ri tawh.
"And Shaaph, the father of Madmannah, Sheva, the father of Machbena and the father of Gibea; and Caleb's daughter was Achsah. These were the sons of Caleb.","Madmana pa Saap leh Makbena leh Gibea pa Seva a hring bawk a; tin, Kaleba fanu chu Aksi a ni."
He's out of time.,A hun a tawp tawh.
"And you said, I will be a queen for ever: you did not give attention to these things, and did not keep in mind what would come after.","Tin, Kei hi kumkhuain lalnuah ka awm ang, i ti a: chutichuan chung thilte chu i rilruin i ngaihtuah lo va, a tawpna tûr lah chu i hre reng hek lo."
"And they sent out a number of evil spirits, and put oil on a great number who were ill, and made them well.","ramhuai tam tak pawh an hnawt chhuak a, dam lo tam tak pawh hriak an hnawih a, an tidam bawk a."
"And they came to Beth-saida. And they took a blind man to him, requesting him to put his hands on him.","Tin, Bethsaida khua chu an lo thleng a. Tin, a hnenah mitdel an rawn hruai a, amah dek turin an ngen a."
They'll wait,Min lo nghâk ang
Tom called,Toman a ko
"And Jesus, having knowledge in his spirit of their thoughts, said to them, Why are you reasoning about these things in your hearts?","Tin, Isuan an rilruin chutiangin an ngaihtuah tih a rilruin a lo hre ta nghal a, an hnenah, Chung thu chu engati nge in thinlunga in ngaihtuah ni?"
She doesn't talk to me anymore.,Min bia tawh lo.
"So that your ear gives attention to wisdom, and your heart is turned to knowledge;","Finna lama i beng i chhit a, I thinlung hriatna lam atân i pêk chuan;"
Here we are!,Hei kan awm!
And the son of Solomon was Rehoboam; and the son of Rehoboam was Abijah; and the son of Abijah was Asa;,Solomonan Rehoboama a hring a; Rehoboaman Abia a hring a; Abian Asa a hring a;
"Then Jeremiah said to them, This is what you are to say to Zedekiah:","Tin, Jeremia chuan an hnênah, Zedakia hnênah chuan hetiangin va sawi rawh u:"
Let those who are against him go down before him; and let his haters be low in the dust.,Thlalêra awmte chu a hmaah an kun ang a; Amah dotute pawh chuan vaivut an liak ang.
But he was not right.,Mahse a dik lo.
I'm very excited,Ka phûr kher mai
I'm almost ready to go.,Ka kal peih tawh.
Keep this.,Hei hi dah rawh.
"Is not your fear of God your support, and your upright way of life your hope?","I Pathian tih hi i rinchhan ber, I kawng ngilna hi i beisei chhan a ni lo vem ni?"
I've tried,Ka tichhin tawh
My soul will say great things of the Lord: the poor in spirit will have knowledge of it and be glad.,"Ka nunna hian LALPA chu a chhuang ang a: Thuhnuairawlhte chuan chu chu an hria ang a,a n lawm ang."
The law and the rule are to be the same for you and for those from other lands living with you.,"In tan leh in hnena hnam dang awmte tan dan hmun khat leh tih dan hmun khat chauh a awm ang,' ti rawh, tiin."
"For a short time they are lifted up; then they are gone; they are made low, they are pulled off like fruit, and like the heads of grain they are cut off.","Chawisan an ni a, rei loean an ral a; Mi dang angin an vuai a, an chuai a, Buh vui angah chhumin an awm ta a."
They are desperate,Beidawng tak an ni
Deal me out,Min dahchhuak rawh
We're not engaged yet.,Kan la inhual lo.
"Take as an example of pain nobly undergone and of strength in trouble, the prophets who gave to men the words of the Lord.","Unaute u, Lalpa hming thusawitu zawlneite chu, tuar dan leh chhel dan kawngah chuan entawn atan hmang rawh u."
You have a visitor,Tlawhtu i nei a
You'll be jealous,I thik ang
"Make clear then to them, as representatives of the churches, the quality of your love, and that the things which we have said about you are true.","Chu mi avang chuan in hmangaih tih hriatna leh, kan chhuanna che u hriatna chu kohhranho pawlte hmaah chuan an hnenah tilang rawh u."
"And as for the Jebusites living in Jerusalem, the children of Judah were unable to make them go out; but the Jebusites are living with the children of Judah at Jerusalem, to this day.",Jerusalem khua ami Jebus-ho erawh chu Juda thlahten an hnawtchhuak thei l va; chutichuan Jebus-hote chu Juda thlahte nen tun thleng hian Jerusalemah an la cheng za ta reng a ni.
You're shy,I zakzum
Deep in thought,Ngaihtuah mûk
"And when he had news of it from the captain, he let Joseph have the body.","Tin, sipai za hotu kaa a hriat chuan, a ruang chu Josefa hnenah a pe a."
Who's complaining?,Tu nge phunnawi?
"The line goes out to the west at Michmethath on the north; then turning to the east to Taanath-shiloh, going past it on the east of Janoah;","tin, ramri chu Mikmethath hmara thlang lampangah a chhuak a; tin, ramri chu chhak lampangah Taanath-silo thlengin a let leh a, Janoa chhak lamah a kal zel a;"
"O God, let your eyes be on him who is our safe cover, and let your heart be turned to your king.","Aw Pathian kan phaw ber, en teh, I hriak thiha hmêl hi en teh."
Just wrap them up,Anmahni chu wrap mai rawh
"And they said, What more need have we of witness? we have the very words of his mouth.","Tin, anni chuan, Eng hriatna dang nge kan ngaih tawh ang? Keimahni ngeiin ama ka chhuak kan hre tawh alawm, an ti a."
"In the eleventh year of Zedekiah, in the fourth month, on the ninth day of the month, the town was broken into:","Zedekia lal kum sâwm leh pakhatna thla lina, chu mi thla ni kuanaah chuan khawpui kolh chu an su tlâng a."
"In that day men will put their images of silver and of gold, which they made for worship, in the keeping of the beasts of the dark places;","Chu mi niah chuan miten an tangkaraw milemte leh an rangkachak milem te, biak tûra an siamsakte chu, buikelek hnênahte leh bak hnênahte chuan an paih ang a;"
Wisdom makes a wise man stronger than ten rulers in a town.,Khawpuia rorêltu sawm aiin finna chuan mi fing chu a tichak zawk.
I've read it.,Ka chhiar tawh.
Do you have a mother,Nu i nei em
"The wrath of the king is like those who give news of death, but a wise man will put peace in place of it.","Lal thinurna chu thihna zualko ang ani a, Mi fing erawh chua a ne dai ang."
I'm not very polite.,Ka polite vak lo.
Is it hard?,A hautak em?
I asked for money.,Pawisa ka dil a.
"His mouth is most sweet; yes, he is all beautiful. This is my loved one, and this is my friend, O daughters of Jerusalem.","A kam a thlum ber mai, a ni, a duhawm famkim; Hei hi ka duhtak chu a ni, hei hi ka thian a ni; Aw Jerusalem fanute u."
For the Son of man will come in the glory of his Father with his angels; and then he will give to every man the reward of his works.,"Mohring Fapa hi a vantirhkohte nen, a Pa ropuinaa inthuamin a lo kal dawn si a; chu mi hunah chuan mi tin an thiltih ang zelin a rul theuh vang."
"But Saul was burning with hate against the church, going into every house and taking men and women and putting them in prison.","Saula erawh chuan kohhranhote a tiduhdah em em a, in tinah a lut a, ahmei apain a hnuk chhuak a, tan inah a khung thin."
It made me strong,Min tichak a ni
I haven't started,Ka la tânlo
"And the free space had doors opening from the side-rooms, one door on the north and one door on the south: and the free space was five cubits wide all round.","Sîr pindan kawng khârte chu hmun âwl lama hawn a ni a, pakhat chu hmâelam hawi a ni a, pakhat chu chhimlam hawi a ni: a vêla hmun âwl chu tawng ngaa zau a ni."
I wash i ti em?,Do you do your wash?
He built a new house.,In thar a sa a.
They love it,An duh lûtuk
"For three things the earth is moved, and there are four which it will not put up with:","Thil pathum avângin leilung a khur thin, Thil pali a ni, tuar theih lohte."
